Title,Problem Statement,Proposed Solution,User Impact,Effort (S/M/L/XL),Priority (1=Critical)
UX-011 — Linear List with Accordion Cards as Default Layout,"User interviews confirmed that agents prefer a linear list layout over a grid. Current BRD does not specify layout type. Grid layout forces agents to scan across rows and columns and loses natural top-down priority reading order.",Default task list to vertical linear list with accordion cards. Collapsed state: Task ID + Title + SLA Pill + Status Badge + Priority label. Expanded on click: full detail including assignee + area + history + action panel. Remove grid toggle unless explicitly required by a user group.,High — directly addresses confirmed user preference from interview; reduces scan time; improves mobile field app readiness.,S,1
UX-012 — Reason-for-Change Gate on SLA Configuration,Admin users can change SLA thresholds without providing a reason. Audit trail has entries but no rationale field. This creates a governance gap — changes cannot be reviewed for business justification.,"Add a mandatory ""Reason for change"" text field in the SLA edit panel before Save is available. Minimum 10 characters. Reason stored in audit trail row alongside: changed-by user, timestamp, old value, new value, reason. Submit disabled until reason is entered.",High — closes governance gap; provides audit trail that satisfies regulatory/compliance needs; Safe-by-Default change management.,S,1
UX-013 — Export Audit Trail (CSV/PDF),"Admin users need to present SLA configuration audit trails to business stakeholders and regulators. Currently, there is no export capability. Admins must screenshot or manually copy data.",Add Export button to the SLA Audit Trail panel with two format options: Download CSV and Download PDF. CSV exports raw data; PDF exports formatted report with company header. Filter the export by the same date range applied to the visible table.,Medium — directly addresses Admin pain point from empathy map; enables compliance reporting; low technical complexity.,S,2
UX-014 — SLA Configuration Impact Warning,When an Admin changes an SLA threshold (e.g., reduces Critical from 60 mins to 30 mins) there is no indication of how many existing in-flight tasks will be reclassified as Overdue or Approaching SLA as a result.,"On entering a new SLA value in edit panel: calculate and show live impact preview: ""3 active tasks currently Inside SLA for Critical will become Overdue if you save this change."" Use --color-warning background. Require acknowledgement checkbox before Save enables.",High — prevents unintended mass-classification of tasks; critical for Admin confidence in making changes; addresses H5-04.,M,1
UX-015 — Dismiss / Pause on Toast Notifications,"Non-urgent toast notifications (e.g., ""Task saved successfully"") auto-dismiss after 4 seconds. WCAG 2.2.1 requires users to be able to extend or pause time limits. Some users read slowly or use screen readers and miss the message.",Add a visible close (×) button on all toasts. Auto-dismiss timer: 8 seconds minimum for non-urgent (role=status). Pause timer on hover or keyboard focus. Critical/error toasts (role=alert) must not auto-dismiss — require explicit user dismissal.,High — WCAG 2.2.1 compliance; screen reader users and slow readers cannot be forced to miss status messages.,S,1
UX-016 — Task History Pinned in Detail Panel,"Task history (status change log) is not prominently visible in the Task Detail view. Agents and Managers must scroll to find it. When investigating a dispute or SLA breach, history is the primary reference source.",Pin a collapsed ""Task History"" accordion at the top of the Task Detail view immediately below the task header. Expand by default for Manager and Admin roles. Collapse by default for Agent role with count label: ""History: 4 events"".,Medium — reduces investigation time for Manager/Admin; aids Agent context awareness; improves audit usability.,S,2
UX-017 — Skip-to-Main Navigation Link,All pages lack a skip-to-main content link. Keyboard-only users must tab through the full left navigation bar and header on every page load to reach the task list or main content area. This is a WCAG 2.4.1 Level A violation.,"Add <a class=""skip-link"" href=""#main-content"">Skip to main content</a> as the first focusable element in the DOM on every page. Visible only on :focus using position absolute pattern. Style with MET-DS-V2 focus token colours.",Critical — WCAG 2.4.1 (Level A) violation; must fix before any release.,S,1
UX-018 — Focus Trap in Modal Dialogs,"Modal dialogs (confirmation modal, user picker, critical task popup) do not trap keyboard focus. Tab key cycles out of the modal into the background page. This is a WCAG 2.1.2 violation and prevents keyboard-only users from completing modal interactions.",Implement focus trap using JavaScript on mount of each modal: detect first and last focusable elements; wrap Tab and Shift+Tab at boundaries. Move focus to modal heading or first CTA on open. Restore focus to trigger element on close.,Critical — WCAG 2.1.2 (Level A) violation; keyboard users cannot complete any modal-based action.,S,1
UX-019 — ARIA Roles on Interactive Components,"Several interactive components lack correct ARIA roles: status change dropdown does not announce selected value; notification toasts use plain <div> without role; filter chips do not use role=""button"" consistently.","Audit all interactive components: (1) <select> — use aria-describedby for action help text. (2) Toasts: role=""alert"" for errors/critical; role=""status"" for success. (3) Filter chips: role=""button"" with aria-pressed state. (4) User picker: role=""listbox"" with role=""option"" per item. (5) Metric tiles: role=""button"" if interactive.",Critical — multiple WCAG 4.1.2 violations; screen reader users cannot operate system.,S,1
UX-020 — Colour-Only Status Badges,"Some status badges and SLA indicators rely on colour alone to convey meaning (red = overdue, amber = approaching SLA). Users with colour vision deficiency cannot distinguish statuses. This is a WCAG 1.4.1 Level A violation.",All status badges must include: (1) Colour (using approved design system token), (2) Icon (e.g., ⚠ for Approaching; ✗ for Overdue; ✓ for Completed), (3) Text label. Never colour alone. Apply this rule to every badge variant across all screens.,Critical — WCAG 1.4.1 (Level A) violation; affects approximately 8% of male users with colour vision deficiency.,S,1
UX-021 — SLA Business Hours Disclosure,"The SLA countdown timer calculates time within business hours (08:00–16:00), but this is not communicated in the UI. Users believe the SLA timer runs 24/7 and are confused when a task does not become overdue overnight.",Show inline note adjacent to every SLA countdown: ""SLA calculated within business hours: Mon–Fri 08:00–16:00."" Include this note in: Task Detail header, SLA Configuration table tooltip, and Task History SLA event entries.,Medium — resolves a systemic mental model mismatch; reduces agent/manager confusion about SLA breach.,S,2
UX-022 — Escalation vs Reassignment Explanation,"Users do not understand the difference between Escalate and Reassign without accessing documentation. Both actions involve directing a task to another user, but the business rules and consequences differ significantly.",Show inline description when each option is highlighted in the action dropdown: ""Reassign: Transfer task ownership within your Business Area. SLA continues."" / ""Escalate: Escalate to a senior user. SLA continues. Use for tasks requiring higher authority."",High — addresses a critical cognitive confusion that leads to wrong action selection; reduces misuse of escalation.,S,2
UX-023 — Global Search Across All Areas,"Managers and Admins need to search for a specific task by ID or partial keyword across all business areas, not just the current view. Current search is scoped to the visible list only.",Implement a global search bar in the top navigation header. Search accepts task ID exact match (TASK-XXXXX) or keyword. Results show top 5 fast-match suggestions in a dropdown. Manager results scoped to own area; Admin results cross-area. Screen reader: announce result count on open.,Medium — directly requested by Manager and Admin personas; enables quick navigation to any task.,L,2
UX-024 — Field App Critical Task Acknowledgement,"The Field App (lightweight mobile surface) pushes a notification for Critical tasks. There is currently no acknowledgement mechanism — the agent cannot confirm they have received and seen the critical alert, and the Manager has no visibility.",Add an Acknowledge button to the Critical Task push notification on the Field App. On acknowledgement: (1) Update task history: ""Critical alert acknowledged by [agent name] at [time]"". (2) Notify Manager via dashboard feed. (3) If not acknowledged within 10 minutes: auto-escalate.,High — closes the SLA safety loop between push notification and Manager awareness; reduces missed criticals.,M,1
UX-025 — Reprioritise SLA Duration Preview,"When an agent or manager reprioritises a task to a higher or lower priority, they cannot see what the new SLA deadline will be until after they confirm. This makes it impossible to make an informed reprioritisation decision.","Show calculated new SLA deadline immediately in the action panel when a new priority level is selected: ""New SLA deadline: Today 15:45 (4h from now at High priority)"". Confirm the same information in the confirmation modal body before the user submits.",High — enables informed priority decisions; prevents unintended SLA manipulation; supports H1 (system status visibility).,S,1
